title,date,author,number_of_views
QuadrigaCX Can't Access $190 Million in Crypto After Founder Dies,"Feb 4, 2019",Chelsea Roh,20680
Coinbase Now Offers PayPal Withdrawals in Europe,"Feb 5, 2019",Chelsea Roh,20233
"US Crypto Traders are the Most Active on Major Exchanges, Data Shows","Feb 6, 2019",Chelsea Roh,21100
Coinbase Wallet Expanding with New Support for Bitcoin Cash,"Feb 20, 2019",Maria Ohle,11094
QuadrigaCX Sends All Its Ether and Bitcoin to Ernst & Young Auditor,"Feb 21, 2019",Maria Ohle,17312
OKEx C2C Platform Adds Ripple (XRP) and Bitcoin Cash (BCH),"Feb 22, 2019",Chelsea Roh,17517
Coinbase Pro FINALLY Adds Ripple and XRP Gets a Boost,"Feb 26, 2019",Chelsea Roh,12751
"The ""Lost"" QuadrigaCX Cryptocurrency Might Be on Exchanges After All","Mar 4, 2019",Chelsea Roh,11426
Kraken Futures Trading Nears $1 Billion in First Month,"Mar 5, 2019",Chelsea Roh,9421
Crypto News | OKEx Lists TRON and IBM Adds Two Blockchain Patents,"Mar 8, 2019",Chelsea Roh,8265
3 Altcoins That Have Potential To Be The Next Ethereum Or Bitcoin,"Jul 10, 2017",Josh Li,6956
A Crash in the Cryptocurrency Industry Might Actually Be a Good Thing,"Jul 12, 2017",Caroline Harris,670
A New Blockchain Allegiance: Circle Acquires Trigger Finance,"Oct 20, 2017",Jen Jiang,430
"Ether Prices Remain Strong, Despite Technical Headwinds","Oct 20, 2017",Jen Jiang,462
"Taiwan Semiconductor Manufacturing Co. Reports Strong 3Q Revenue, Credits Cryptocurrency Mining","Oct 20, 2017",Jen Jiang,4937
Bitcoin Mining Operations Cause Blackouts,"Dec 11, 2017",Samara Malkin,7149
Starbucks In Argentina Caught Mining On Customers Laptops Via Wifi,"Dec 13, 2017",Chelsea Roh,7100
Sources Report Venezuelan Gov. Will Roll Out Online Registry for Bitcoin Mining,"Dec 15, 2017",Caroline Harris,6573
Hackers are Mining Cryptocurrency Off of Other People's Computers Using Video Websites,"Dec 15, 2017",Samara Malkin,5125
This Dubai-Based Firm Just Got Issued a Cease and Desist Order for its Bitcoin Mining Ploy,"Dec 21, 2017",Caroline Harris,4573
Is Human Body Energy The New Crypto Mining Power Solution?,"Dec 28, 2017",Chelsea Roh,6926
Time to Start Using Bitcoin Mining for the Sake of Science,"Dec 28, 2017",Samara Malkin,4642
"Bitmain Considers Expanding Bitcoin Mining Into Quebec, Canada","Jan 15, 2018",Jackson Chen,7931
TRON (TRX): Justin Sun Is Talking The Talk but What's The Deal?,"Jan 15, 2018",Chelsea Roh,7777
"Bitcoin Higher, but Ripple, Ethereum, and Bitcoin Cash Plunge","Jan 15, 2018",Siraj Sarwar,3668
"Verge (XVG) Up By 600% In One Month, Could It Be The Next Monero","Jan 15, 2018",Jackson Chen,13767
Bitcoin Fumbles After Renewed South Korean Concerns,"Jan 16, 2018",Siraj Sarwar,3235
"Bitcoin, Ethereum, Ripple, Cardano, Litecoin and the Entire Cryptocurrency Market Continue to Suffer Major Losses, Here's Why","Jan 16, 2018",Chelsea Roh,5368
"Ripple Extends the Selloff, Down 66% from an All-Time High","Jan 16, 2018",Siraj Sarwar,3219
